"TTWA11NM","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_sq","work11","work11_sq","workdiff","workdiff_sq","geo04","geo10","geodiff","type"
"London",7407046,36,0.116119400388925,0.0577925832958499,-0.0583268170930751,0.153199339273442,0.0728172770513993,-0.0803820622220428,0.207036120694283,0.174930834702309,0.0981664339910822,0.088927364661231,-0.108869686703201,-0.0860034700410779,0.180371459066464,0.108753380452754,-0.0716180786137102,"jsa"
"Manchester",2404272,11,0.14082115291535,0.0955778463206798,-0.0452433065946707,0.188044471465332,0.0905064449675592,-0.097538026497773,0.17014622731449,0.131145282393049,0.0797981580262785,0.0740330743200275,-0.0903480692882113,-0.057112208073022,0.150159384659446,0.122997703628357,-0.0271616810310888,"jsa"
"Birmingham",1570646.99,8,0.0784072405076017,0.013875454851302,-0.0645317856562997,0.281644592359669,0.223965000572377,-0.0576795917872914,0.235023152937401,0.183148977452788,0.178534884249075,0.0880925934086463,-0.0564882686883266,-0.0950563840441419,0.205182318545042,0.171384756023485,-0.0337975625215563,"jsa"
"Slough and Heathrow",1474801,12,0.0185642140153277,-0.0112125416551976,-0.0297767556705253,0.122140933571814,0.124417672661707,0.00227673908989345,0.0917503383532789,0.0415192320106712,0.0498486611804765,0.0185370396482654,-0.0419016771728025,-0.0229821923624058,0.0841642812874284,0.0620225622723751,-0.0221417190150532,"jsa"
"Newcastle",956339,5,0.152363782478346,0.118132015171199,-0.0342317673071477,0.0903758579835596,0.0691365671856659,-0.0212392907978938,0.141335905012937,0.0949506129441602,0.143630080433212,0.0541817580701718,0.00229417542027477,-0.0407688548739884,0.124666489338495,0.10374315500772,-0.0209233343307744,"jsa"
"Liverpool",898780,8,0.11732634251365,0.0945355773135077,-0.022790765200142,0.193738449584856,0.163800558620693,-0.0299378909641632,0.0864689862042667,0.0792968813402695,0.0605094858014468,0.0492293770342087,-0.0259595004028199,-0.0300675043060608,0.115708881983636,0.0959105800605755,-0.0197983019230605,"jsa"
"Leicester",855917,6,0.293853269989256,0.240303396586825,-0.0535498734024316,0.277122544947559,0.250175603906428,-0.0269469410411318,0.12841065192984,0.10993282952785,0.136488777728857,0.0765075654952341,0.00807812579901679,-0.0334252640326156,0.267654208607524,0.215004093861978,-0.0526501147455463,"jsa"
"Sheffield",770801,4,0.178297009060032,0.125265999190702,-0.0530310098693292,0.140724751445532,0.0521554486713001,-0.088569302774232,0.0519890862765067,0.113526153219738,0.106430377518961,0.026373840194708,0.0544412912424548,-0.0871523130250296,0.133244191607332,0.0933862232549245,-0.0398579683524076,"jsa"
"Bristol",743279,3,0.285296899659244,0.212953233455181,-0.0723436662040626,0.284767404880569,0.212822331974593,-0.0719450729059758,0.0643618151131591,0.15405183863507,0.127706606686559,0.0592151916699493,0.0633447915733996,-0.0948366469651205,0.205453097483058,0.172004762465974,-0.0334483350170842,"jsa"
"Nottingham",734792,4,0.183313738462374,0.121412756419403,-0.061900982042971,0.188890003199788,0.127325172178416,-0.0615648310213714,0.0155509838527053,0.0981880880241874,0.0586719787669665,0.0253545668632285,0.0431209949142612,-0.072833521160959,0.189498789279327,0.162994991392054,-0.0265037978872726,"jsa"
"Warrington and Wigan",734666,6,0.171351986163785,0.178471419828441,0.00711943366465562,0.0135341283446735,-0.00547489704970872,-0.0190090253943822,0.0540593377834853,0.0331793453844114,0.0429753544588607,0.0414093447750474,-0.0110839833246246,0.00822999939063607,0.109139016108259,0.156621824410138,0.0474828083018792,"jsa"
